sample	tool	mode	rank	n	correct	accuracy_percent
cami_i_hc	centrifuge	contigs	superkingdom	52441	6912	13.1805
cami_i_hc	centrifuge	contigs	phylum	52441	6790	12.9479
cami_i_hc	centrifuge	contigs	class	52441	6589	12.5646
cami_i_hc	centrifuge	contigs	order	52441	6273	11.9620
cami_i_hc	centrifuge	contigs	family	52441	6017	11.4738
cami_i_hc	centrifuge	contigs	genus	52441	5577	10.6348
cami_i_hc	centrifuge	contigs	species	52441	5153	9.8263
cami_i_hc	ganon2	contigs	superkingdom	3703	3156	85.2282
cami_i_hc	ganon2	contigs	phylum	3703	2990	80.7453
cami_i_hc	ganon2	contigs	class	3703	2917	78.7740
cami_i_hc	ganon2	contigs	order	3703	2877	77.6938
cami_i_hc	ganon2	contigs	family	3703	2877	77.6938
cami_i_hc	ganon2	contigs	genus	3703	2877	77.6938
cami_i_hc	ganon2	contigs	species	3703	2862	77.2887
cami_i_hc	hymet	contigs	superkingdom	52201	52144	99.8908
cami_i_hc	hymet	contigs	phylum	52201	52144	99.8908
cami_i_hc	hymet	contigs	class	52201	52143	99.8889
cami_i_hc	hymet	contigs	order	52201	52143	99.8889
cami_i_hc	hymet	contigs	family	52201	51982	99.5805
cami_i_hc	hymet	contigs	genus	52201	51963	99.5441
cami_i_hc	hymet	contigs	species	52201	41835	80.1421
cami_i_hc	kraken2	contigs	superkingdom	42090	41790	99.2872
cami_i_hc	kraken2	contigs	phylum	42090	41715	99.1091
cami_i_hc	kraken2	contigs	class	42090	41674	99.0116
cami_i_hc	kraken2	contigs	order	42090	41296	98.1136
cami_i_hc	kraken2	contigs	family	42090	41039	97.5030
cami_i_hc	kraken2	contigs	genus	42090	40889	97.1466
cami_i_hc	kraken2	contigs	species	42090	35341	83.9653
cami_i_lc	centrifuge	contigs	superkingdom	27145	1691	6.2295
cami_i_lc	centrifuge	contigs	phylum	27145	1609	5.9274
cami_i_lc	centrifuge	contigs	class	27145	1482	5.4596
cami_i_lc	centrifuge	contigs	order	27145	1342	4.9438
cami_i_lc	centrifuge	contigs	family	27145	1036	3.8165
cami_i_lc	centrifuge	contigs	genus	27145	19	0.0700
cami_i_lc	centrifuge	contigs	species	27145	0	0.0000
cami_i_lc	ganon2	contigs	superkingdom	766	368	48.0418
cami_i_lc	ganon2	contigs	phylum	766	191	24.9347
cami_i_lc	ganon2	contigs	class	766	152	19.8433
cami_i_lc	ganon2	contigs	order	766	152	19.8433
cami_i_lc	ganon2	contigs	family	766	138	18.0157
cami_i_lc	ganon2	contigs	genus	766	4	0.5222
cami_i_lc	ganon2	contigs	species	766	0	0.0000
cami_i_lc	hymet	contigs	superkingdom	27075	27070	99.9815
cami_i_lc	hymet	contigs	phylum	27075	27066	99.9668
cami_i_lc	hymet	contigs	class	27075	27066	99.9668
cami_i_lc	hymet	contigs	order	27075	27036	99.8560
cami_i_lc	hymet	contigs	family	27075	27011	99.7636
cami_i_lc	hymet	contigs	genus	27075	26549	98.0572
cami_i_lc	hymet	contigs	species	27075	20151	74.4266
cami_i_lc	kraken2	contigs	superkingdom	25379	25307	99.7163
cami_i_lc	kraken2	contigs	phylum	25379	25281	99.6139
cami_i_lc	kraken2	contigs	class	25379	25257	99.5193
cami_i_lc	kraken2	contigs	order	25379	25159	99.1331
cami_i_lc	kraken2	contigs	family	25379	24965	98.3687
cami_i_lc	kraken2	contigs	genus	25379	24333	95.8785
cami_i_lc	kraken2	contigs	species	25379	17380	68.4818
cami_i_mc	centrifuge	contigs	superkingdom	35226	1718	4.8771
cami_i_mc	centrifuge	contigs	phylum	35226	1661	4.7153
cami_i_mc	centrifuge	contigs	class	35226	1521	4.3178
cami_i_mc	centrifuge	contigs	order	35226	1386	3.9346
cami_i_mc	centrifuge	contigs	family	35226	1256	3.5655
cami_i_mc	centrifuge	contigs	genus	35226	7689	21.8276
cami_i_mc	centrifuge	contigs	species	35226	0	0.0000
cami_i_mc	ganon2	contigs	superkingdom	509	268	52.6523
cami_i_mc	ganon2	contigs	phylum	509	165	32.4165
cami_i_mc	ganon2	contigs	class	509	113	22.2004
cami_i_mc	ganon2	contigs	order	509	90	17.6817
cami_i_mc	ganon2	contigs	family	509	67	13.1631
cami_i_mc	ganon2	contigs	genus	509	108	21.2181
cami_i_mc	ganon2	contigs	species	509	67	13.1631
cami_i_mc	hymet	contigs	superkingdom	33371	33370	99.9970
cami_i_mc	hymet	contigs	phylum	33371	33370	99.9970
cami_i_mc	hymet	contigs	class	33371	33367	99.9880
cami_i_mc	hymet	contigs	order	33371	33314	99.8292
cami_i_mc	hymet	contigs	family	33371	27559	82.5837
cami_i_mc	hymet	contigs	genus	33371	27440	82.2271
cami_i_mc	hymet	contigs	species	33371	19325	57.9096
cami_i_mc	kraken2	contigs	superkingdom	33579	33522	99.8303
cami_i_mc	kraken2	contigs	phylum	33579	33509	99.7915
cami_i_mc	kraken2	contigs	class	33579	33493	99.7439
cami_i_mc	kraken2	contigs	order	33579	33390	99.4371
cami_i_mc	kraken2	contigs	family	33579	27610	82.2240
cami_i_mc	kraken2	contigs	genus	33579	27491	81.8696
cami_i_mc	kraken2	contigs	species	33579	19186	57.1369
cami_ii_marine	centrifuge	contigs	superkingdom	36082	4920	13.6356
cami_ii_marine	centrifuge	contigs	phylum	36082	4879	13.5220
cami_ii_marine	centrifuge	contigs	class	36082	4718	13.0758
cami_ii_marine	centrifuge	contigs	order	36082	4566	12.6545
cami_ii_marine	centrifuge	contigs	family	36082	4556	12.6268
cami_ii_marine	centrifuge	contigs	genus	36082	8568	23.7459
cami_ii_marine	centrifuge	contigs	species	36082	2880	7.9818
cami_ii_marine	ganon2	contigs	superkingdom	478	243	50.8368
cami_ii_marine	ganon2	contigs	phylum	478	123	25.7322
cami_ii_marine	ganon2	contigs	class	478	77	16.1088
cami_ii_marine	ganon2	contigs	order	478	2	0.4184
cami_ii_marine	ganon2	contigs	family	478	0	0.0000
cami_ii_marine	ganon2	contigs	genus	478	38	7.9498
cami_ii_marine	ganon2	contigs	species	478	0	0.0000
cami_ii_marine	hymet	contigs	superkingdom	32629	32602	99.9173
cami_ii_marine	hymet	contigs	phylum	32629	32600	99.9111
cami_ii_marine	hymet	contigs	class	32629	32570	99.8192
cami_ii_marine	hymet	contigs	order	32629	32501	99.6077
cami_ii_marine	hymet	contigs	family	32629	32501	99.6077
cami_ii_marine	hymet	contigs	genus	32629	30125	92.3258
cami_ii_marine	hymet	contigs	species	32629	28986	88.8351
cami_ii_marine	kraken2	contigs	superkingdom	23008	22968	99.8261
cami_ii_marine	kraken2	contigs	phylum	23008	22941	99.7088
cami_ii_marine	kraken2	contigs	class	23008	22890	99.4871
cami_ii_marine	kraken2	contigs	order	23008	22608	98.2615
cami_ii_marine	kraken2	contigs	family	23008	22550	98.0094
cami_ii_marine	kraken2	contigs	genus	23008	20129	87.4870
cami_ii_marine	kraken2	contigs	species	23008	17239	74.9261
cami_ii_mousegut	centrifuge	contigs	superkingdom	55830	8219	14.7215
cami_ii_mousegut	centrifuge	contigs	phylum	55830	8125	14.5531
cami_ii_mousegut	centrifuge	contigs	class	55830	7708	13.8062
cami_ii_mousegut	centrifuge	contigs	order	55830	7708	13.8062
cami_ii_mousegut	centrifuge	contigs	family	55830	7490	13.4157
cami_ii_mousegut	centrifuge	contigs	genus	55830	5997	10.7415
cami_ii_mousegut	centrifuge	contigs	species	55830	5441	9.7457
cami_ii_mousegut	ganon2	contigs	superkingdom	8833	1013	11.4684
cami_ii_mousegut	ganon2	contigs	phylum	8833	439	4.9700
cami_ii_mousegut	ganon2	contigs	class	8833	331	3.7473
cami_ii_mousegut	ganon2	contigs	order	8833	277	3.1360
cami_ii_mousegut	ganon2	contigs	family	8833	243	2.7510
cami_ii_mousegut	ganon2	contigs	genus	8833	243	2.7510
cami_ii_mousegut	ganon2	contigs	species	8833	178	2.0152
cami_ii_mousegut	hymet	contigs	superkingdom	40233	40233	100.0000
cami_ii_mousegut	hymet	contigs	phylum	40233	40228	99.9876
cami_ii_mousegut	hymet	contigs	class	40233	40213	99.9503
cami_ii_mousegut	hymet	contigs	order	40233	40213	99.9503
cami_ii_mousegut	hymet	contigs	family	40233	40113	99.7017
cami_ii_mousegut	hymet	contigs	genus	40233	35744	88.8425
cami_ii_mousegut	hymet	contigs	species	40233	35641	88.5865
cami_ii_mousegut	kraken2	contigs	superkingdom	50022	49980	99.9160
cami_ii_mousegut	kraken2	contigs	phylum	50022	49957	99.8701
cami_ii_mousegut	kraken2	contigs	class	50022	49729	99.4143
cami_ii_mousegut	kraken2	contigs	order	50022	49729	99.4143
cami_ii_mousegut	kraken2	contigs	family	50022	44824	89.6086
cami_ii_mousegut	kraken2	contigs	genus	50022	40318	80.6005
cami_ii_mousegut	kraken2	contigs	species	50022	33697	67.3644
cami_ii_strainmadness	centrifuge	contigs	superkingdom	20256	17723	87.4951
cami_ii_strainmadness	centrifuge	contigs	phylum	20256	17713	87.4457
cami_ii_strainmadness	centrifuge	contigs	class	20256	17703	87.3963
cami_ii_strainmadness	centrifuge	contigs	order	20256	17703	87.3963
cami_ii_strainmadness	centrifuge	contigs	family	20256	17703	87.3963
cami_ii_strainmadness	centrifuge	contigs	genus	20256	19925	98.3659
cami_ii_strainmadness	centrifuge	contigs	species	20256	14734	72.7389
cami_ii_strainmadness	ganon2	contigs	superkingdom	365	166	45.4795
cami_ii_strainmadness	ganon2	contigs	phylum	365	85	23.2877
cami_ii_strainmadness	ganon2	contigs	class	365	73	20.0000
cami_ii_strainmadness	ganon2	contigs	order	365	17	4.6575
cami_ii_strainmadness	ganon2	contigs	family	365	13	3.5616
cami_ii_strainmadness	ganon2	contigs	genus	365	27	7.3973
cami_ii_strainmadness	ganon2	contigs	species	365	0	0.0000
cami_ii_strainmadness	hymet	contigs	superkingdom	17714	17705	99.9492
cami_ii_strainmadness	hymet	contigs	phylum	17714	17705	99.9492
cami_ii_strainmadness	hymet	contigs	class	17714	17697	99.9040
cami_ii_strainmadness	hymet	contigs	order	17714	17697	99.9040
cami_ii_strainmadness	hymet	contigs	family	17714	17697	99.9040
cami_ii_strainmadness	hymet	contigs	genus	17714	17523	98.9218
cami_ii_strainmadness	hymet	contigs	species	17714	14486	81.7771
cami_ii_strainmadness	kraken2	contigs	superkingdom	14792	14769	99.8445
cami_ii_strainmadness	kraken2	contigs	phylum	14792	14760	99.7837
cami_ii_strainmadness	kraken2	contigs	class	14792	14742	99.6620
cami_ii_strainmadness	kraken2	contigs	order	14792	14731	99.5876
cami_ii_strainmadness	kraken2	contigs	family	14792	14673	99.1955
cami_ii_strainmadness	kraken2	contigs	genus	14792	14355	97.0457
cami_ii_strainmadness	kraken2	contigs	species	14792	13795	93.2599
cami_sample_0	centrifuge	contigs	superkingdom	226980	41183	18.1439
cami_sample_0	centrifuge	contigs	phylum	226980	40777	17.9650
cami_sample_0	centrifuge	contigs	class	226980	39721	17.4998
cami_sample_0	centrifuge	contigs	order	226980	38978	17.1724
cami_sample_0	centrifuge	contigs	family	226980	38058	16.7671
cami_sample_0	centrifuge	contigs	genus	226980	47775	21.0481
cami_sample_0	centrifuge	contigs	species	226980	28208	12.4275
cami_sample_0	ganon2	contigs	superkingdom	14654	5214	35.5807
cami_sample_0	ganon2	contigs	phylum	14654	3993	27.2485
cami_sample_0	ganon2	contigs	class	14654	3663	24.9966
cami_sample_0	ganon2	contigs	order	14654	3415	23.3042
cami_sample_0	ganon2	contigs	family	14654	3338	22.7788
cami_sample_0	ganon2	contigs	genus	14654	3297	22.4990
cami_sample_0	ganon2	contigs	species	14654	3107	21.2024
cami_sample_0	hymet	contigs	superkingdom	169392	169312	99.9528
cami_sample_0	hymet	contigs	phylum	169392	169286	99.9374
cami_sample_0	hymet	contigs	class	169392	169122	99.8406
cami_sample_0	hymet	contigs	order	169392	168774	99.6352
cami_sample_0	hymet	contigs	family	169392	162125	95.7100
cami_sample_0	hymet	contigs	genus	169392	156105	92.1561
cami_sample_0	hymet	contigs	species	169392	138302	81.6461
cami_sample_0	kraken2	contigs	superkingdom	188870	188336	99.7173
cami_sample_0	kraken2	contigs	phylum	188870	188163	99.6257
cami_sample_0	kraken2	contigs	class	188870	187785	99.4255
cami_sample_0	kraken2	contigs	order	188870	186913	98.9638
cami_sample_0	kraken2	contigs	family	188870	175661	93.0063
cami_sample_0	kraken2	contigs	genus	188870	167515	88.6933
cami_sample_0	kraken2	contigs	species	188870	136638	72.3450
